"","Var1","Freq"
"1","abazy",1
"2","aborcja",1
"3","aborcję",1
"4","aborcyjnej",1
"5","abraham",1
"6","achemenidów",1
"7","achillesa",2
"8","adam",4
"9","adama",4
"10","administracja",1
"11","admirał",2
"12","adolf",7
"13","adriatykiem",1
"14","aduą",1
"15","aerosmith",1
"16","afera",1
"17","afganistanie",3
"18","afryce",5
"19","afrykański",1
"20","afryki",2
"21","agentom",1
"22","agonia",1
"23","agrypiny",1
"24","ajdukiewicz",1
"25","ajjuba",1
"26","ajschines",1
"27","ak",3
"28","akademia",1
"29","akademicka",1
"30","akademicki",6
"31","akademickiego",1
"32","akademik",1
"33","akcent",1
"34","akcenty",1
"35","akcja",2
"36","akcji",2
"37","akira",1
"38","akt",1
"39","aktor",1
"40","aktorek",1
"41","aktywistki",1
"42","akwitańska",1
"43","alan",1
"44","albanię",1
"45","albanii",1
"46","albowiem",1
"47","albrecht",1
"48","albrycht",1
"49","albrychta",1
"50","album",1
"51","aldoną",1
"52","aldrich",1
"53","aleksander",7
"54","aleksandra",1
"55","aleksy",2
"56","alfonsa",1
"57","alfred",1
"58","alfreda",3
"59","alkoholizmem",1
"60","allan",1
"61","almodóvarze",1
"62","alnakba",1
"63","alojzy",1
"64","alone",2
"65","altmarku",1
"66","ambasadą",1
"67","ambasadora",2
"68","ambioryks",1
"69","ambitny",1
"70","ameryce",3
"71","amerykanie",4
"72","amerykańscy",2
"73","amerykański",3
"74","amerykańskich",3
"75","amerykańskie",2
"76","amerykańskiego",3
"77","amerykańskiej",3
"78","amerykańskim",1
"79","amerykańskohiszpańska",1
"80","amerykańskokanadyjski",1
"81","amerykańsku",1
"82","ameryki",2
"83","ames",1
"84","anarchizm",1
"85","anatewka",1
"86","anatomia",1
"87","and",1
"88","andegaweńska",2
"89","andegaweński",1
"90","anders",1
"91","andropow",1
"92","andruszowie",1
"93","andrzej",4
"94","andrzeja",2
"95","andyjskie",1
"96","anegdocie",1
"97","angelos",2
"98","angielscy",1
"99","angielski",1
"100","angliapolska",1
"101","anglii",4
"102","anibal",1
"103","animal",1
"104","anioł",2
"105","anioły",1
"106","ankonę",1
